문항(키워드),자기소개서,회사,직무,지원 시기,대학 분류,전공,학점,언어,경험,기타
"5. 본인이 [모집분야]의 채용분야와 관련하여 교육ㆍ훈련을 이수한 경험을 기술하여 주십시오. 특히, 해당 교육ㆍ훈련이 채용분야와 관련한 본인의 지식/기술/태도에 어떠한 기여를 하였는지를 포함하여 기술해 주십시오.('교육훈련사항(엑셀별첨)'에 작성한 교육ㆍ훈련 이수 현황) (최대 800자 입력가능)","[업무수행을 위한 발전과정] 저는 행정직군에 지원을 하게 되었고, 업무를 수행하기 위해서는 여러 분야에 능통하면서 전문적인 지식이 필요하다고 생각합니다. 그 중, 회계 분야에 관련된 지식을 공부하기 위해 회계 관련 자격증을 취득하였고 대학 전공으로 회계학 과목을 수강하는 등 직무 지식에 대해 깊이 있는 공부를 하기 위해 노력했습니다. 또한 회계감사를 주제로 학사 졸업논문을 작성했습니다. 그 과정에서 한국채택국제회계기준을 준수하여 재무제표를 작성하기 위한 기업의 노력과 회계감사의 투명성을 제고하기 위한 감사인의 노력이 함께 이루어져야만 회계감사의 실효성이 강화될 수 있다는 점을 배웠습니다.  실제 분식회계 사례를 주제로 OO기업의 부채비율과 매출액순이익률 등 재무비율을 분석하여 분식회계의 원인을 도출하고 분식회계 방지를 위한 해결방안을 모색하였습니다. 졸업 후에는 공인회계사 중급회계 강의를 수강하면서 심화 내용을 학습하였고 배운 내용을 잊어버리지 않기 위해 꾸준히 복습했습니다. 또한 공공기관 근무를 통해 매출 관련 증빙서류 관리와 세금계산서 발행, 전표 처리 업무를 수행하고 매입매출장과 세무 자료를 검토하여 불일치를 해소하는 등의 회계 업무를 처리하면서 실무능력을 향상시켰습니다. 이러한 저의 전문지식과 직무 역량을 바탕으로 한국교육과정평가원에 입사 후 입출금 및 대체 회계전표에 대한 지식을 공부하고 기업의 실무 관련 회계 규정을 숙지하여 여러 가지 회계업무를 효율적으로 처리할 수 있도록 노력하겠습니다.",한국교육과정평가원,행정원,2024 상반기,지거국,경영학부,학점 3.65/4.5,토익: 870,,"학점 3.65/4.5 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 재경관리사"
"1. 자신의 장점과 단점은 무엇이며, 단점을 극복하기 위해 노력했던 행동과 생각, 결과에 대해 서술하십시오. (최대 500자 입력가능)"," “실수도 실력이다.”실수할 때마다 어머니가 해 주신 말씀입니다. 저는 이 말로 인해 실수하지 않기 위해 꼼꼼한 성격과 깊게 생각하는 습관을 기를 수 있었습니다. 저의 꼼꼼함은 아르바이트를 할 때도 돋보였습니다. 출근 후, 해야 할 일들을 정리하여 체계적으로 기록하고, 여러 번 확인하여 실수를 최소화하고 일의 효율성을 높였습니다. 이는 매장 업무 체계를 잡는 데 도움이 되었고, 매장 오픈 후 매출 우상향 곡선을 그리기도 하였습니다. 하지만, 꼼꼼히 하려다 보니 일처리 속도가 느리다는 것이 단점입니다. 일을 처리하는데 많은 시간이 필요할 뿐만 아니라 일의 마감 기한을 놓치는 경우도 있었습니다. 이 단점을 극복하기 위해 일의 우선순위를 파악하고, 목표 일정을 설정하여 그 기한까지 일을 완료하도록 노력했습니다. 월, 주, 일 단위 계획을 세워 먼저 처리해야 할 일을 우선순위에 따라 처리하였습니다. 이를 통해 아르바이트, 학업, 대외활동을 한 학기에 수행할 수 있었습니다. 입사 후에도 주 업무뿐만 아니라 사소한 일에서도 항상 ‘꼼꼼함’을 가지고 행동하며, 철저히 시간을 관리하는 습관을 통해 신뢰받는 대한전선의 사원이 되겠습니다.",대한전선,프로젝트 관리,2024 상반기,지거국,회계학과,학점 3.74,,사회생활 경험: 인턴 1회,"학점 3.74 대외활동 1회, 공모전 1회 컴퓨터활용능력: 1급, 기타: 재경관리사, 전산세무 2급"
"2. 자신의 인생에서 가장 열정적으로 추진했던 경험은 무엇입니까? (열정을 가지게 된 이유, 추진 준비 과정, 어려웠던 점과 해결 과정을 포함하여 서술하십시오.) (최대 800자 입력가능)"," 회계학과를 전공하며 재무회계, 세무회계 등의 과목을 수강하며 회계에 대한 이론적 지식을 습득할 수 있었습니다. 하지만 이론적 지식을 실무에 적용할 수 있는지 의문이 생겼고, 이론 지식을 실무에 적용하고자 공모전과 교내 재무제표 경진대회에 참여하였습니다. 공모전에서는 팀원들과 비즈니스 모델 구상 등의 과제를 수행하였습니다. 교내 재무제표 경진대회에서는 기업의 재무비율을 분석하여 재무 상태를 파악하고, 전기와 비교하여 기업의 성과를 이해할 수 있었습니다. 하지만 헷갈리는 이론 지식도 많았을 뿐만 아니라, 실무에서 필요한 지식과의 연계가 부족하여 좋은 결과를 가져오지 못하였습니다. 이후 기업에 회계 지식을 적용하기 위해서는 경제적 지식 또한 필수적이라고 느꼈고, 이에 경제학과를 부전공하였습니다. 기업의 행동이 어떻게 소비자들과 국제 경제에 영향을 미치는지 알 수 있었고, 리먼브라더스 사태와 같은 사례를 통해 기업의 안정적인 성장을 위한 방법에 관심이 생겼습니다. 기업의 안정적 성장을 위해서는 회계적 성과와 안정성이 뒷받침되어야 하고, 이에 알맞은 프로젝트 관리를 할 수 있어야 합니다. 이를 위해 회계 지식을 더욱 강화하고자 재경관리사를 취득하였습니다. 이를 바탕으로 심화된 회계 지식을 익힐 수 있었습니다. 또한 전산세무 2급 자격증을 취득하여 실무 처리 능력도 기를 수 있었습니다.  이러한 경험은 저에게 어려움을 극복할 수 있다는 자신감과 끊임없는 학습의 중요성을 상기시켜 주었습니다. 이처럼 끊임없이 발전하는 모습으로 대한전선의 프로젝트 관리 직무에서 뛰어난 성과를 이루겠습니다.",대한전선,프로젝트 관리,2024 상반기,지거국,회계학과,학점 3.74,,사회생활 경험: 인턴 1회,"학점 3.74 대외활동 1회, 공모전 1회 컴퓨터활용능력: 1급, 기타: 재경관리사, 전산세무 2급"
"3. 협업을 통해 공동의 목표를 달성한 경험은 무엇이었으며, 목표를 위해 타인과 소통했던 과정 등을 구체적으로 서술하십시오. (협업을 하게 된 상황/목표, 달성 과정에서 어려웠던 상황, 소통 방식을 포함하여 서술하십시오.) (최대 800자 입력가능)"," 저는 대학 시절 동아리 활동에서 공연이라는 목표를 위해 노력하여, 공연을 성공적으로 끝마친 경험이 있습니다. 연습이 없는 날에도 동아리방에 나와, 선배들의 피드백을 들으며 부족한 점을 보완해나갔습니다. 잘 고쳐지지 않는 점도 있었지만 포기하지 않고, 공연을 준비하는 다른 모든 동아리원과 서로서로 피드백을 주고받는 등 협력하여 부족한 점을 극복하고 공연을 성공적으로 준비할 수 있도록 힘을 모으곤 하였습니다. 또한, 새로 가입한 동아리원 중에서 새로운 환경에 적응하기 어려워하거나 기존 동아리원들과 잘 친해지지 못하는 동아리원이 몇몇 있었습니다. 공연을 위해서는 함께 협동하고 연습해야 했지만, 새로 가입한 동아리원들이 불편해하거나 적응을 하지 못해 연습에 차질이 생길 때도 있었습니다. 그래서 저는 편안한 분위기를 조성하여 새로운 동아리원들이 빠르게 기존 동아리원들과 친해지며 동아리에 적응할 수 있도록 도왔습니다. 새로 가입한 동아리원들과 많은 대화를 하려고 노력하고, 기존 동아리원들과 친해질 수 있도록 모임을 주선하기도 했습니다. 모임이 끝난 후에는 따로 연락하여 잘 들어갔냐고 묻는 등 개인적으로 연락을 주고받아 새로운 동아리원들이 빠르게 기존 동아리원들과 친해지며 동아리에 적응할 수 있도록 돕기 위해 노력했습니다. 이러한 노력으로 공연을 성공적으로 마무리할 수 있었고, 동아리 내에서도 긍정적인 분위기를 조성할 수 있었습니다. 이 경험을 통해 협력과 의사소통의 중요성을 깨달았으며, 다양한 상황에서 의사소통 능력을 발휘하는 방법을 배울 수 있었습니다.",대한전선,프로젝트 관리,2024 상반기,지거국,회계학과,학점 3.74,,사회생활 경험: 인턴 1회,"학점 3.74 대외활동 1회, 공모전 1회 컴퓨터활용능력: 1급, 기타: 재경관리사, 전산세무 2급"
"1. 본인이 회사를 선택할 때의 기준은 무엇이며, HMM이 그 기준에 부합하는 이유에 대해 서술해주세요. (700)","[업종 다각화로 성장을 실현하는 HMM] 성장 가능성이 높은 회사의 사업방향 속에서 자부심을 느끼며 자신 있는 실무를 할 수 있는 회사를 선택기준으로 삼고 있습니다. 그리고 HMM은 업종 다각화를 바탕으로 선택기준에 부합하는 종합해운물류사입니다. 지속적인 사업확장으로 성장을 꿈꾸는 회사가 지속가능한 영업이익을 만들 수 있고, 이러한 회사에서 자부심을 가질 때 꾸준한 직장생활을 할 수 있다고 생각합니다. 이때 HMM은 주력사업인 컨테이너와 더불어 벌크, 환경대응, 디지털 솔루션 구축으로 14분기 연속 흑자를 달성한 국적선사로써 선택기준에 부합하는 회사입니다. HMM은 장기불황이 예상되는 컨테이너시황에도 특수화물 및 냉동화물 등 고채선화물 유치를 강화하고 메탄올 추진선 9척을 발주하며 수익성 개선과 환경대응을 함께 하고 있습니다. 또한 장기운송계약이 가능한 벌크선의 강점을 활용해 벌크선대를 확장하여 선대 개선을 시도하고 있습니다. 그리고 디지털 부문에서 Hi Quote, 벤더 파트너즈 등 다양한 플랫폼을 운영하여 화주와 협력사에 실시간 데이터를 공유하고 페이퍼리스시대를 도모하고 있습니다. 이러한 컨테이너시장 장기불황과 환경규제, 디지털화에 대비하는 경영전략은 어떠한 해운시황도 이겨낼 수 있는 HMM만의 원동력이라 생각합니다. 따라서 이러한 성장 가능성이 풍부한 HMM과 함께하며 자부심을 느끼는 실무를 하여 회사에 기여하겠습니다.",HMM,컨테이너영업,2024 상반기,부산대,식품자원경제학과,학점 3.91/4.5,"토익: 880, 오픽: IM2",사회생활 경험: 신용보증기금,"학점 3.91/4.5 부산선박금융연구회, 폴라리스 대학생경제봉사단 한국사검정시험: 고급, 기타: 국제무역사 1급"
2. 20~30대 시절 최고의 순간과 최악의 순간은 무엇이었나요? 해당 경험이 본인의 가치관 형성에 어떠한 영향을 주었는지 서술해주세요.,[성취로 느낀 보람과 실패로 깨달은 팀워크] 신용보증기금에 재직하며 능동적인 업무처리로 감사함을 표하셨던 기업대표님을 응대한 경험이 최고로 보람을 느낀 순간이었습니다. 당시 전기 대비 매출이 감소하여 보증료가 인상될 상황에 처한 화물운송업체의 보증서 연장을 담당한 적이 있습니다. 이때 해당기업의 수취가 가능한 매출채권이 있는지 대표님과 검토하였고 효력이 있는 채권을 발견하였습니다. 이를 통해 보증료를 동결하며 기업에 동일한 금융지원을 할 수 있었습니다. 이러한 경험에 따라 타인과 사회에 행복한 바람을 불어넣어 드리자는 가치관을 형성할 수 있었습니다. 반면 팀장으로 참여한 해운시황분석대회에서 목표달성에 실패한 경험이 있습니다. 당시 팀원들과 3등 이상 수상이라는 목표를 설정하고 대회준비를 하였습니다. 이때 마감기한이 촉박하다는 독자적인 판단을 하여 팀원들이 맡은 역할까지 무리하게 병행하였고 보고서의 완성도가 떨어지며 목표를 달성하지 못하였습니다. 이러한 경험을 통해 협업하는 경우는 긴박성 등의 업무사항을 팀원과 함께 결정하고 서로의 역할수행을 믿을 때 오히려 좋은 결과가 나올 수 있다는 사실을 깨달으며 팀워크라는 가치를 쌓을 수 있었습니다.,HMM,컨테이너영업,2024 상반기,부산대,식품자원경제학과,학점 3.91/4.5,"토익: 880, 오픽: IM2",사회생활 경험: 신용보증기금,"학점 3.91/4.5 부산선박금융연구회, 폴라리스 대학생경제봉사단 한국사검정시험: 고급, 기타: 국제무역사 1급"
"3. 본인이 지원한 직무의 역할이 무엇이라 생각하는지 제시하고, 해당 직무를 수행하기 위해 어떤 노력과 준비를 하였는지 서술해주세요.","[데이터로 말하는 컨테이너영업인] 지원한 직무는 현장의 최전선에서 HMM의 컨테이너운송이 필요한 화주의 사업을 이어드리는 '지원군'입니다. 또한 컨테이너영업직무는 화물종류마다의 효율적인 항로와 서비스를 화주께 제시하여 영업이익 극대화를 실현하는 역할입니다. 그러므로 시장조사를 하여 물동량 증가가 예상되는 업종의 화주를 발굴하고 항로, 선적 현황을 분석하여 화주의 니즈에 부합하는 조건을 신속히 제시하는 능력이 요구됩니다.  이에 따라 상황에 적합한 데이터를 분석하여 화주와 의사소통을 하기위한 준비를 하였습니다. 대학 시절 HMM 해기사님과 함께 컨테이너선사 경영프로젝트를 하며 SCFI, 공급망압력지수 등의 데이터를 통계분석하고 분석역량을 키웠습니다. 또한 화주라는 기업고객에 대한 응대경험을 쌓고자 신용보증기금 인턴직에 재직하였습니다. 이때 기업관계자와 협업하며 매출채권, 재무적 지표 등 다양한 자료들을 근거로 제시하며 신속한 의사소통을 하였습니다. 따라서 이러한 경험들로 다져온 역량을 변수가 많은 해운현장에서 적합한 항로 등의 데이터를 분석하고 최적의 해운경로와 운임을 신속히 화주께 제시하며 차질 없는 운송프로세스를 구축하는 데 기여하겠습니다.",HMM,컨테이너영업,2024 상반기,부산대,식품자원경제학과,학점 3.91/4.5,"토익: 880, 오픽: IM2",사회생활 경험: 신용보증기금,"학점 3.91/4.5 부산선박금융연구회, 폴라리스 대학생경제봉사단 한국사검정시험: 고급, 기타: 국제무역사 1급"
4. HMM에서 어떤 인재로 성장하고 싶은지 서술해주세요.,[종합물류화로 가치를 연결하는 HMM인이 되자] 화주의 가치를 종합물류화로 연결할 수 있도록 HMM의 사업영역을 확장하는 인재로 성장하고 싶습니다. HMM의 해운업과 함께 터미널 운영력을 강화하고 물류센터 등의 물류사업을 확장하면 HMM만의 종합해운물류업을 실현할 수 있다고 생각하기 때문입니다. 따라서 이러한 인재로 성장하고자 인턴 기간에 선배님과 업무메뉴얼을 통해 업무를 신속히 학습하고 현업에 적용하겠습니다. 이후 신입사원이 되어 화주의 니즈에 알맞는 운항조건을 제시하며 영업관리를 하고 HMM 서비스가 필요한 예비화주와 신규계약을 체결하며 영업경력을 쌓겠습니다. 이후 5~10년 차 HMM인이 되면 영업직무와 함께 화주의 가치를 극대화할 수 있는 사업전략을 고안하고 이를 기획부서에 전달하는 연결다리가 되겠습니다. 그리고 10년 차 이상의 HMM인이 되면 물류센터설립 등 구체적인 신규사업을 발굴하는 아이디어뱅크로 성장하여 화주가 만족하는 HMM의 종합물류화를 이루겠습니다.,HMM,컨테이너영업,2024 상반기,부산대,식품자원경제학과,학점 3.91/4.5,"토익: 880, 오픽: IM2",사회생활 경험: 신용보증기금,"학점 3.91/4.5 부산선박금융연구회, 폴라리스 대학생경제봉사단 한국사검정시험: 고급, 기타: 국제무역사 1급"
1. ,"[지원동기]저는 동양건설산업에서 회계팀 사원으로 근무하며, 주거 환경을 지원하는 업무에 대해 관심을 가지게 되었습니다. 특히 한국주택금융공사의 여러 상품 중 청년들의 주거 환경을 지원하는 청년 버팀목 전세자금대출에 대해 많은 관심을 가지고 있습니다. 사회에 첫 발을 내딛는 청년들에게 매우 유용한 상품이지만, 처음 이용하는 청년들에게는 다소 어려울 수 있다고 생각합니다. 저는 이런 부분에서 한국주택금융공사에 입사하여 청년들에게 도움을 줄 수 있는 역할을 하고 싶습니다.[입사 후 포부]한국주택금융공사 체험형 인턴으로 근무하게 된다면 한국주택금융공사의 상품에 대해 완벽하게 숙지하여 고객들의 문의에 정확한 답변을 제공하고, 방문하신 민원인분들에게 친절하게 안내하여 공사의 이미지를 높이는 데 기여하겠습니다. 또 한국주택금융공사의 업무 프로세스를 파악하여 비효율적인 부분을 발견한다면 개선할 수 있도록 제안하겠습니다. 조직 내에서는 원활한 소통과 협력을 이끌어내는 데 노력하여 한국주택금융공사의 발전에 기여하겠습니다.",한국주택금융공사,체험형 인턴,2024 상반기,경기권 4년제,데이터경영,학점 3.06,토익: 800,사회생활 경험: 대기업 건설사 회계직 2개월 스타트업 1개월,"학점 3.06 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 신용분석사 adsp 매경 전산회계1급"
"2. 지원자의 장점을 공사 인재상과 (창조인, 전문인, 화합인) 연관 지어 상세히 기술하고, 이를 업무 수행시 어떻게 활용할 것인지 기술해 주십시오.","저의 장점은 창조인이라고 생각합니다.동양건설산업에서 근무 당시, ERP데이터 마이그레이션을 7개의 법인을 담당하여 업무를 수행한 경험이 있습니다. 당시에는 처음 접하는 프로그래밍 언어와 툴이었지만, 적극적으로 학습하고 동료들과 함께 문제를 해결하며 프로젝트를 성공적으로 완료하였습니다. 이 경험을 통해 데이터를 효율적으로 관리하고, 새로운 가치를 창출하는 능력을 길렀습니다.이를 통해 현재는 엘케이벤쳐스(인생네컷) 단기 회계직에서 재고 실사 및 유형자산,무형자산,리스자산등을 관리 할 때도 그 때 배웠던 역량과 OA스킬을 활용하여 업무에 임하고 있습니다. 주택금융공사의 창조인은 창의적인 사고와 도전 정신으로 새로운 가치를 창출하는 인재라고 생각합니다. 저의 이런 경험과 역량을 바탕으로 주택금융공사에 입사하여, 창의적인 사고와 도전 정신으로 새로운 가치를 창출하는 데 기여하겠습니다그리고 회계팀 사원으로 많은 양의 문서 작업 특히 엑셀 프로그램과 다양한 ERP프로그램을 사용한 경험이 있습니다.이를 바탕으로 한국주택금융공사의 문서, 사무 업무에 있어 정확성과 적시성을 갖추며 업무에 임할 수 있습니다.",한국주택금융공사,체험형 인턴,2024 상반기,경기권 4년제,데이터경영,학점 3.06,토익: 800,사회생활 경험: 대기업 건설사 회계직 2개월 스타트업 1개월,"학점 3.06 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 신용분석사 adsp 매경 전산회계1급"
3. 공사는 공익성을 핵심가치 중 하나로 삼고 있습니다. 지원자의 과거 공익 지향적 경험이 있다면 기술하여 주십시오.,"저는 대학교 재학 시절, XX시청에서 다문화 어린이 멘토링 봉사활동을 한 경험이 있습니다. 다문화 어린이 멘토링은 경제적으로 어려운 가정의 다문화 어린이들이 공부하는 곳으로, 학습 환경이 열악한 경우가 많았습니다. 저는 아이들의 학습 환경을 개선하기 위해 노력하였습니다.먼저, 아이들의 학습 수준을 파악하고, 맞춤형 학습 계획을 수립하였습니다. 또 학습에 필요한 교재와 교구를 준비하고, 수업 시간에는 아이들의 질문에 적극적으로 대답하며, 학습 동기를 부여하였습니다.또한 학원강사의 경험과 학업을 늦게 시작한 야구선수의 경험 또한 있기에 아이들에게 진솔한 제 얘기를 들려주며, 동기부여와 함께 개인적으로 봉사활동이 끝나고도 연락을 하고 있을만큼 제겐 따뜻한 경험이었습니다.그리고 남을 도우며 제가 하는 일에 자신감과 자부심이 중요하다는 것을 스스로에게도 느꼈던 소중한 경험이었습니다.저의 이런 경험을 바탕으로 공사에 입사하여, 공익성을 핵심가치로 삼아 국민의 주거 복지 증진과 국가 경제 발전에 기여하겠습니다.",한국주택금융공사,체험형 인턴,2024 상반기,경기권 4년제,데이터경영,학점 3.06,토익: 800,사회생활 경험: 대기업 건설사 회계직 2개월 스타트업 1개월,"학점 3.06 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 신용분석사 adsp 매경 전산회계1급"
"4. 공사 사업분야(정책모기지, 유동화증권발행, 주택보증, 주택연금) 또는 부서 중 지원자가 가장 관심을 갖고 있는 분야(부서)를 1가지 선택하고, 그 이유와 본인이 기여할 수 있는 방안에 대해 기술하여 주십시오.","저는 한국주택금융공사의 사업 문야 중 정책모기지에 관심이 있습니다. 특히 그 중에서도 서민들의 주거환경을 위한 보금자리론과 디딤돌 대출에 관한 관심이 많습니다.제가 정책모기지에 관심을 가지게 된 계기는 동양건설산업의 회계팀 사원, 건설사의 회계팀 사원으로 근무하며 서민들의 입장에서 보금자리 마련이 어렵다는 것을 느꼈던 계기가 많습니다. 이에 따라 국민의 주거 안정성을 보장하는 것이 국가 경제 발전에 중요하다느 것을 깨달았기 때문입니다. 또 경제적으로 어려운 가정의 경우, 정책 모기지를 통해 내 집 마련의 기회를 얻을 수 있다는 것도 알게 되었습니다.또한 건설업에서 근무했던 경험이 있기에, 이를 바탕으로 한국주택금융공사에서의 업무에서도 활용할 수 있습니다.저는 정책 모기지에 대한 이해도와 활용 능력을 높여 국민의 주거 안정성을 보장하고, 국민들의 보금자리 마련을 지원하는 데 기여 하겠습니다. 또한 한국주택금융공사가 취급하는 금융상품에 대해 파악과 업무 프로세스를 파악하고 효율적으로 개선하도록 기여하겠습니다.",한국주택금융공사,체험형 인턴,2024 상반기,경기권 4년제,데이터경영,학점 3.06,토익: 800,사회생활 경험: 대기업 건설사 회계직 2개월 스타트업 1개월,"학점 3.06 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 신용분석사 adsp 매경 전산회계1급"
1. 신용보증기금 청년인턴에 지원하게 된 동기와 인턴생활을 통해 얻거나 배우고자 하는 점을 기술하여 주십시오.,"(400자 이상 600자 이내)신용보증기금 청년인턴에 지원 동기는 다양합니다. 첫째 경제와 기업에 대한 관심과 열정을 가지고 있습니다. 신용보증기금은 중소 중견기업의 성장과 발전을 지원하고 국가 경제에 기여하는 중요한 역할을 수행합니다. 이에 참여하여 경제 생태계에 기여하고 기업들의 성공을 도모하는 과정에 참여하고 싶습니다. 둘째 신용보증기금 청년인턴을 통해 실전적인 경험과 역량을 키우고자 합니다. 이러한 경험은 전문성을 향상시키고 새로운 도전에 대비할 수 있는 기회를 제공합니다. 또한, 업무를 수행하며 조직 내에서의 협업과 의사소통 능력을 향상시킬 수 있을 것입니다.인턴생활을 통해 다음과 같은 점듬을 얻거나 배우고자 합니다.첫재 신용보증기금의 역할과 기능에 대한 이해를 높이고, 기업에 대한 신용 평가와 보증 절차에 대한 실무 지식을 습득하고자 합니다. 둘째 실제 기업들과의 소통을 통해 중소 중견기업의 요구와 어려움을 파악하고, 그들에게 필요한 지원 방안을 모색하고 제안하는 능력을 키우고 싶습니다.마지막으로, 신용보증기금 청년인턴을 통해 기업 경제에 대한 실전적인 이해와 경험을 쌓으며, 신용보증기관의 역할과 기능을 이해하고 기업들에게 필요한 지원을 제공하는 능력을 키우고자 합니다",신용보증기금,체험형 인턴,2024 상반기,경기권 4년제,데이터경영,학점 3.06,토익: 800,사회생활 경험: 건설사 2개월 스타트업 1개월 계약직,"학점 3.06 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 신용분석사 adsp 전산회계 1"
"2. 신용보증기금이 청년인턴에게 기대하는 역량은 무엇이라고 생각하며, 본인이 그 역량에 어떻게 부합하는지 경험","또는 교육사항 등을 포함하여 기술하여 주십시오. (400자 이상 600자 이내)[분석력과 태도]분석력은 기업들의 금융 상황을 정확히 파악하고, 적절한 금융 지원 방안을 도출하는 능력을 의미합니다. 또한, 대면 업무에서의 태도는 기업들과 원활한 커뮤니케이션과 협력을 이루는 능력을 말합니다.역량에 부합하는 경험으로는 동양건설산업에서 회계팀 사원으로 법인/현장별 결산 업무 erp이관작업과 국민연금공단에서 지원 업무를 수행하며 데이터 분석을 진행한 경험이 있습니다.또한 대면 업무에서의 태도에도 주의를 기울였습니다. 기업들과의 소통과 협력을 위해 적극적으로 의사소통을 하고, 신속하고 정확한 업무 처리에 최선을 다하였습니다. 업무에 대한 책임감과 자부심을 가지며 수행했으며, 신용보증기금에서도 이러한 태도를 가지며 역할을 수행할 수 있습니다.마지막으로 교육과 자기계발에 대한 노력입니다. 금융 및 경영 관련 분야의 교육 이수와 자격 취득을 했으며, 대학시절 중소기업 탐방 경험을 통해 산업의 동향 파악의 경험이 있습니다. 신용보증기금이 요구하는 역량에 부합하고, 미래에도 성장하며 역량을 강화하도록 준비하겠습니다.",신용보증기금,체험형 인턴,2024 상반기,경기권 4년제,데이터경영,학점 3.06,토익: 800,사회생활 경험: 건설사 2개월 스타트업 1개월 계약직,"학점 3.06 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 신용분석사 adsp 전산회계 1"
"3. 신용보증기금은 ‘해외동반진출 보증 프로그램’을 올해 신설하여 대기업은 신보에 자금을 출연하고 협력업체를 추천하며, 신보는 추천된 중소·중견기업의 해외진출 필요자금을 지원하는 사업을 운영중에 있습니다. 지원자가 생각하기에 신용보증기금이 이러한 프로그램을 운영하게 된 배경이 무엇인지 세계 경제 상황 등 대외여건을 고려하여 기술하여 주시기 바랍니다. (500자 이상 1500자 이내)","세계 경제는 글로벌화와 함께 빠르게 변화하고 있습니다. 특히, 최근에는 코로나19로 인해 글로벌 공급망의 불확실성이 증가하면서 기업들의 해외 진출이 더욱 어려워지고 있습니다. 이러한 상황에서 국내 기업들은 해외 시장에서 경쟁력을 확보하기 위해 다양한 노력을 하고 있습니다. 특히, 대기업과 중소기업 간의 동반 진출은 국내 기업들의 해외 진출을 성공적으로 이끌어내는 데 중요한 역할을 합니다. 대기업은 해외 시장에서 높은 인지도와 네트워크를 가지고 있으며, 이를 활용하여 중소기업의 해외 진출을 지원할 수 있습니다. 중소기업은 대기업이 필요로 하는 기술력과 제품을 제공할 수 있으며, 이를 통해 대기업의 경쟁력을 높일 수 있습니다.하지만, 대기업과 중소기업 간의 동반 진출은 자금 조달 등의 문제로 인해 어려움을 겪는 경우가 많습니다. 이에 따라 신용보증기금은 대기업과 중소기업 간의 동반 진출을 지원하기 위해 해외동반진출 보증 프로그램을 운영하게 되었습니다. 이 프로그램은 대기업이 신보에 자금을 출연하고 협력업체를 추천하면, 신보는 추천된 중소 중견기업의 해외 진출 필요자금을 지원하는 것입니다. 이를 통해 대기업과 중소기업간의 동반 진출을 촉진하고, 국내 기업들의 해외 경쟁력을 강화하는 데 기여할 것으로 기대 됩니다.따라서, 신용보증기금이 해외동반진출 보증 프로그램을 운영하게 된 배경은 세계 경제 상황 등 대외여건을 고려하여 국내 기업들의 해외 진출을 지원하고, 국내 경제 활성화를 도모하기 위한 것으로 볼 수 있습니다.",신용보증기금,체험형 인턴,2024 상반기,경기권 4년제,데이터경영,학점 3.06,토익: 800,사회생활 경험: 건설사 2개월 스타트업 1개월 계약직,"학점 3.06 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 신용분석사 adsp 전산회계 1"
